,business_id,date,likes,text,type,user_id,winter,spring,summer,autumn,dayofweek,timediff,bad_comment,good_comment,closed
757445,9XcWAcp1dCpcLcHTBENn-Q,2013-02-21,0,some of the best tom yum noodle soup in town!,tip,W6CdNfqkQby6tSLJHJH4Tw,1,0,0,0,3,1409,0,0,0
551801,sLbeQ3mYionlWnbglZBjsA,2016-03-05,0,we've been coming here for years. they always do a great job.,tip,mSyfxDigILjKgbP2Ap6cxw,0,1,0,0,5,2517,0,0,0
341122,7ibuDLfx8gEhESAufYIySw,2011-11-02,0,$10 all you can eat today!,tip,Q2SqwNL1m9Wt7mlOh5NR_Q,0,0,0,1,2,932,0,0,0
395162,c2l80imPWR8V6gIEM02XPg,2011-11-04,0,"oh snap, they have dinner specials!",tip,oS2O8YQ31HTSTQgPQKc7Cg,0,0,0,1,4,934,0,0,0
605649,5shgJB7a-2_gdnzc0gsOtg,2012-10-16,0,overhyped. i've definitely have had better tapas food.,tip,tVasO85ojeYPaDTsVm5FwA,0,0,0,1,1,1281,0,0,0
70529,nW3Y05gCIhYAQFq6FUWihA,2012-05-19,0,ice cream with the boys:),tip,Xp9cktHJYvusEygkqce4lg,0,1,0,0,5,1131,0,0,0
472566,mZW34yHvJsSP6OWNHz6xmw,2012-05-01,0,lots and lots of pretty shoes and bags.,tip,4e6MMvMT_VFEtYXmRRelUA,0,1,0,0,1,1113,0,0,0
637737,KskYqH1Bi7Z_61pH6Om8pg,2014-01-30,0,garlic prawns!!!!!!!!,tip,sfautjDMRA7PaBZ33iq89A,1,0,0,0,3,1752,0,0,0
782523,VUknuJV7f9DoqiYdsb1BLg,2012-04-29,0,customer appreciation night. so awesome!,tip,T2CxKpjXj3Ln2r_wTB0RLg,0,1,0,0,6,1111,0,1,0
799037,X74dy7wrgY9R98kfdsKDJQ,2014-08-12,0,"moderately sized, no frills mom 'n pop restaurant that knows how to make some damn good chicken. the hot sauce is a must. try the pork chops too! so flavorful!",tip,wvVm5Q69-Su3o8aLD0AjGw,0,0,1,0,1,1946,0,0,0
186205,HaNUXh5nYR0r7FrbFJSHXw,2012-02-20,0,it looks wow from the outside,tip,6p1NDChnIpGl29Ce3cMKWg,1,0,0,0,0,1042,0,0,0
64552,80omysuPKac8zn1PfRnQRQ,2014-03-06,0,they don't have ice tea only tea leaves that get pressed for  4.50 no refills,tip,YTx9IUAeGXnLjdTFHBw_BQ,0,1,0,0,3,1787,0,0,0
880631,so3mxlBchivcXS9UgyE4gA,2015-10-07,0,they keep charging me and charging me fee after fee!!! don't sign up here!!!!!!,tip,EjsSXmGONSH0L3RFybbARg,0,0,0,1,2,2367,0,0,0
352118,At2bqa8emnEr5WNIosi0ow,2013-07-15,0,come early in the morning,tip,9nrji23HpxUgC_N_q9TaqQ,0,0,1,0,0,1553,0,0,0
621413,Bz8iVsCAv-8t8FsQLCXFPQ,2010-12-10,0,try the eggnog!!!,tip,sFALybzZE2sVyhuGmA2-fw,1,0,0,0,4,605,0,0,0
472338,dWk0mbhj79pK3WBp5oLtpw,2012-02-11,0,a photo of the reuben brought me here.      hope it tastes good!!!,tip,Y0OyACLINRqXAP-WKNm24w,1,0,0,0,5,1033,0,0,0
220523,P_g8jiatxxPxAh0lPBNAgA,2013-07-27,0,dianna is gifted!  loving my hair!,tip,Oce9RryvQopBMvV3JZhfRQ,0,0,1,0,5,1565,0,0,0
822736,N7yuiiu8jhQ-Fl9Npflreg,2013-09-06,0,try the fresh juices!! i tried both the watermelon and the carrot and they were both delicious! yum!,tip,u899oohDpBC8SxDpwrJtkw,0,0,0,1,4,1606,0,0,0
586462,4JHGVuanHAu5n8DxvVcuVw,2016-01-08,0,the cotton candy ice cream is the same as the one you can get from thrifty's aka rite aid's brand. this place is overpriced!,tip,kYVpQrlb7l3D5jTPPKduLA,1,0,0,0,4,2460,0,0,0
561350,C8D_GU9cDDjbOJfCaGXxDQ,2013-02-01,0,pretzel balls and cheese!,tip,KHwBg583-G8xsHDc82Haeg,1,0,0,0,4,1389,0,0,0
840034,f4x1YBxkLrZg652xt2KR5g,2011-04-23,0,breakfast time in vegas!!,tip,4dTE6xw3ZAbX2xNT4IKeQQ,0,1,0,0,5,739,0,0,0
619249,t6ZIBNrQjvtwor8W-u3sUg,2012-11-13,0,nice family run chinese place. good portions good prices.,tip,FKH6bgsPuaoH_cQJopBEBg,0,0,0,1,1,1309,0,1,0
491729,EnCIojgP5KTr1leaysFE3A,2014-06-10,0,"think venezuelan tortas or gyros and you be fairly close. the wood fired chicken, ribs and steak are killer too. one of the best takeaway places in the area, and their dining room is comfortable, spacious, clean and air conditioned. owner operated and delicious.",tip,diUZbMNTuRcUWX4-ML4-dg,0,0,1,0,1,1883,0,0,0
607269,mw6g4_dXp-FISBujPUuDLw,2015-11-28,0,they moved and expanded the bar!,tip,BkWkf3QXlBdPEhJOmYflkw,0,0,0,1,5,2419,0,0,0
290689,nBJvxIwO1wU2DVqyQMczng,2014-02-05,0,buy one get two free sale!!! 2 pairs of kors and a lamb for $90!!! love it!!!,tip,hfoQz3eUkASnf3bs7AdbuA,1,0,0,0,2,1758,0,0,0
825226,N7yuiiu8jhQ-Fl9Npflreg,2011-10-31,0,"fresh baby coconut, awesome sticky rice and curry. spiced to meet your need...great cocktails",tip,tE2p8gF6hI-n41FQ4-0wgw,0,0,0,1,0,930,0,1,0
892045,BKuIF9DE-lrYL-vKV4s0ow,2016-11-09,0,"amazing view, great drink specials! love the live music!",tip,n_DtyEk3r_fcSC2lJ5CAMQ,0,0,0,1,2,2766,0,1,0
639983,YO8sWa0wYChH6DQWnE6NFg,2014-02-21,0,very good food we loved it alllll :p,tip,thy4tSCM20iJGgqxnd6aKQ,1,0,0,0,4,1774,0,1,0
793374,tIvDO_1WNbb6UAifErQ-Ug,2011-09-07,0,heart shapes on the latte's :),tip,1fdBpMGBdCjjXRt0-EEGOg,0,0,0,1,2,876,0,0,0
160282,5z0kyK7EsC9c47waAptsNA,2012-09-08,0,new gym? hellz yeah.,tip,PjoSwmHj3QL5U5lDtjM3KA,0,0,0,1,5,1243,0,0,0
103979,C-XK1u2zybUaMODcPOd5mA,2012-03-05,0,too good for words..,tip,-TUoj-BR50zzKenEAy99Eg,0,1,0,0,0,1056,0,1,0
412856,XVyS4VbFMfEQQ0aa_Xb-FQ,2014-08-11,0,"if you're a frequent shopper here or any of their locations, download their app on your phone so that you can always have a discount on you whenever you drop in!",tip,UEKG996TTiwonMpXwH-ixQ,0,0,1,0,0,1945,0,0,0
942007,L3ysePkSGjp11VIcmA3A-Q,2016-03-20,0,good stuff!  i'll come back!,tip,BefkYEdT4NAmJExefEcy4Q,0,1,0,0,6,2532,0,1,0
939265,G64LZzcDOBzR55jn2yRKYw,2015-10-30,1,drunken chicken has me drunk in love! nicole is as awesome as the free beignets!,tip,FRUAW8F4tAYUpyHXOxOsfQ,0,0,0,1,4,2390,0,0,0
270301,xGzKRIUAuqDrT9eYthGqKw,2013-07-18,0,"free wifi, sign up for e-club. free bagel with purchase of drink the day after you sign up",tip,zyTVJQw-6hgPG0JZGXzwNQ,0,0,1,0,3,1556,0,0,0
437759,JyxHvtj-syke7m9rbza7mA,2012-01-16,0,ayce & sake!!,tip,zpnDr3EBaVU8QPNHE3eDbg,1,0,0,0,0,1007,0,0,0
355530,if59L5DHM4pPMrCx9HuD8A,2011-03-04,0,found good parking under bridge or fwy whatever it is.,tip,825Ol4rTvAZnUyFMke37jA,0,1,0,0,4,689,0,1,0
820011,DMMEWBNOJhB9nG_2J1lYvg,2010-09-21,0,look out for the two for one drink cards throughout the casino,tip,ajxRyUAeOFS2opRYCRNJ2Q,0,0,0,1,1,525,0,0,0
90660,xzGe1EkD9FJH0dN7QnyqBQ,2015-02-24,0,i got food poisoning here and service was horrible. i'm not going back!,tip,CSiqTdDFi2u111sVvkVzgw,1,0,0,0,1,2142,0,0,0
556925,qQP2bCj8H8ddp9QG-zRZ-w,2014-07-06,0,work bought lunch the day before the fourth. the ribs were fantastic. chicken was really good too!,tip,KxrRos1HbkT5a0uCuYUcAg,0,0,1,0,6,1909,0,0,0
864472,GPX3TnZ0-4pAxKPJUESbeA,2016-06-23,0,no seasoning on chicken tenders. juicy but flavorless. too costly.,tip,X7nErI3bA8i-Lcb7GoWAkg,0,0,1,0,3,2627,0,0,0
357052,iIYDTnlF_fCsaFWJds2l-A,2013-08-21,0,great service!,tip,j9vih1KD2r-NLlaHfZPkRA,0,0,1,0,2,1590,0,1,0
209620,GtCrKxpL_JSwXr2yxMLt5A,2011-05-04,0,why did i do this to myself? and why do i want to do it again? cause its good for you! sooo hot.,tip,ZY2HuOTauUiYgOE_Ee5o3Q,0,1,0,0,2,750,0,0,0
913427,WlBvw6R1Qe2yIaZp-2ilZA,2016-03-02,0,food and staff was awesome!  new favorite mexican place!  chips were amazing.,tip,zdtTfuzPSxXUzXuUmeqf-Q,0,1,0,0,2,2514,0,1,0
648869,PRbIMseOwPCCRv5C4SfTDQ,2014-02-07,0,"cobb salad tasty but man, i feel as if i've been at the salt lick! clean and friendly service- just less salt please!",tip,pz_0uE4a-D6q4JXKAG-E7Q,1,0,0,0,4,1760,0,0,0
416462,PS6MUV_adG5JH3SZ4e_sCQ,2011-05-23,0,great food. they we're don antonio's back in the days. big portion like i remembered. can't to wait to comeback.,tip,R-UpSwZmnrdYGPVYWlM4fg,0,1,0,0,0,769,0,1,0
692749,XcWlBj5oQgzKhR7Cxovj3w,2014-10-12,0,"this hours are dependent on flight times for the adjacent gates.  if the last flight at night is at 9 pm, they'll likely close around that time.",tip,VdOTg5a-NbQyXcrvKjwxLw,0,0,0,1,6,2007,0,0,0
791295,op0GPkK8YtpTQxSq80lEpw,2014-08-23,0,these guys take pizza seriously. it comes straight from the oven to your table. fantastic!,tip,8qx0tSiKr2xZgGVEQHrQDw,0,0,1,0,5,1957,0,0,0
183480,-ZBfr1BHvArFp1d6XH8jOQ,2011-08-20,0,best burger in phoenix,tip,SBnmBbp_2em6cdA7z0-duQ,0,0,1,0,5,858,0,0,0
29071,OnLrM6z22HSTBnQdJCPyxw,2013-12-09,0,nice art gallery,tip,BLWTaJumxYkzp5L1FoUhIg,1,0,0,0,0,1700,0,1,0
665419,daqYMX3Y4QR8xl-BUlYBPw,2016-02-04,0,best tortas in the whole state of arizona tortas paquime,tip,2XxenB5V1lAZ0x14PY_v0g,1,0,0,0,3,2487,0,0,0
803226,VsewHMsfj1Mgsl2i_hio7w,2016-06-21,0,brunch til 4pm. bottomless mimosas $30.,tip,OelFkAeUdUM1qUAwgdmYTQ,0,0,1,0,1,2625,0,0,0
255326,z7GAft_JrFNmAH5xbVeYSA,2011-08-12,0,i'm home!,tip,0FMte0z-repSVWSJ_BaQTg,0,0,1,0,4,850,0,0,0
602203,2GX90GQKx0aa7jA6AapjOw,2014-05-03,0,they have everything and it's always an adventure,tip,1LESyVBmCGVvkODSRMT_WQ,0,1,0,0,5,1845,0,0,0
417345,ybHlmdUHLPKfv85bRK4Wtw,2013-04-10,0,my favorite way to start the day is with a skinny og. best coffee in vegas!,tip,p-8qfnPiZ5PwKWEUBBdB4A,0,1,0,0,2,1457,0,0,0
560785,bFfWZ4TEyejefj4yk41M5Q,2011-06-28,1,skillets r slamming,tip,QHdAghwtYKtISgBhNLqatQ,0,0,1,0,1,805,0,0,0
907714,m9idUZWCBQB_owyaSeO2dw,2013-11-10,0,exclnt mexican food decent pricing nice little find off the strip.,tip,mCeu_rVoYFRiYMgTWxgoYg,0,0,0,1,6,1671,0,1,0
834801,LnIO_JtoDS1xLfTHWuV_ug,2014-09-12,0,"salsa, awful and old tasting, service terrible. not a great choice. the place isn't even busy and we had to wait 15 mins to order and so far waiting 10 minutes for the guy to bring our card back.",tip,fmXpSKwBtAm7haVSW5iATQ,0,0,0,1,4,1977,1,0,0
409929,nEJYfCtVM44qFknVSLb4Ug,2016-05-19,0,love the price!,tip,czasm3GRJjdtEznkXFf4OA,0,1,0,0,3,2592,0,0,0
847777,uNxANKBV3_rnkPYfIy9WKA,2011-08-19,0,ahh...this is what the desert is like...,tip,CLLO-buEMEL0iGEt-uqvHQ,0,0,1,0,4,857,0,0,0
17219,mUdalYTuAtnZm2K9zoH27Q,2014-09-29,0,you had me at foie. also at gras.,tip,WALNtcSZlONK4Yj-o3pzKA,0,0,0,1,0,1994,0,0,0
939411,Zuq--l5rl9mI193fC8N1SQ,2016-01-22,0,"went to another ""greek"" restaurant due to  location convenience. never again!  the queen greek is #1 in service and amazing food. never stray again :)",tip,Kw8_oow9wdsGsSC-rKODdQ,1,0,0,0,4,2474,0,0,0
511266,45zlHi1yyrjpQS_icSi60A,2014-01-29,0,we like going here very often...food is good and price it's also ok...,tip,PCVusT6e7E9Zw_BIiI0p0g,1,0,0,0,2,1751,0,1,0
799182,bDgmLfAh_TWRCHEYC8hbpQ,2016-04-15,0,get in madison or colin ' s section! great service!,tip,wkSdo0bE6cXGuDR7VpZ9Ww,0,1,0,0,4,2558,0,1,0
708817,ZpL967DgakVHW-OQokVYcQ,2015-01-21,0,ask for jes,tip,lY1iqSwLYCSimWbDy8yZxw,1,0,0,0,2,2108,0,0,0
538466,5B-V6vr6TbtMjrRaBAtHqQ,2014-08-10,0,burger with a fried egg. awesome. this is a cool place to get out and have several choices of things to do at night.,tip,_J6MrTTRrJmWuUoFQ_1zdQ,0,0,1,0,6,1944,0,1,0
4450,finErFzbJa_sn1gBnz8G6Q,2015-08-08,0,"they seem to always seat you in the rear, even when the place is empty. so my tip is to ask to sit by the window!",tip,QYKexxaOJQlseGWmc6soRg,0,0,1,0,5,2307,0,0,0
589096,IyrDnrvUKpndj5zIv1KvGQ,2016-06-25,0,"every vegas trip i make, we always stop by this restaurant. the food is so delicious. the servers so friendly. how can we resist.",tip,EAwyli5Cu_R3M54MaZJing,0,0,1,0,5,2629,0,0,0
773995,XVuxeNIiX7eVTBb9cBirzw,2014-03-07,0,lisa is great!  always has time for my last minute appointments,tip,Krt9eSuNGRywDhHNQcKXaQ,0,1,0,0,4,1788,0,1,0
